project_entity_id,property_product_type,display_name_cn,source_scope,confidence,notes
project:agile-sky-residence,公寓,公寓,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:bkk-mansion,公寓,公寓,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:casa-meridian,公寓,公寓,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:chief-tower,待核,待核,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:de-castle-royal,公寓,公寓,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:diamond-bay-garden,公寓,公寓,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:diamond-mansion,公寓,公寓,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:diamond-one,公寓,公寓,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:diamond-twin-tower,公寓,公寓,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:ding-li-tower,待核,待核,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:j-tower-1,公寓,公寓,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:j-tower-2,公寓,公寓,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:j-tower-3,公寓,公寓,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:la-vista-one,公寓,公寓,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:le-conde-bkk1,公寓,公寓,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:m-residence,公寓,公寓,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:m-residence,服务式公寓,服务式公寓,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:mesong,公寓,公寓,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:mesong,LA联排,LA联排,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:morgan-enmaison,公寓,公寓,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:morgan-tower,待核,待核,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:olympia-city,待核,待核,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:one-70,公寓,公寓,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
