raw_alias,normalized_alias,entity_level,target_display_name,canonical_identity,alias_kind,weight,search_only,conflict_flag,resolution_action,verification_status,notes
170,170,PROJECT,ONE 70（金边首座）,project:one-70,STRONG_PROJECT_ALIAS,95,True,False,DIRECT_RESOLVE,PARTIAL,
1号路炳发,1号路炳发,FAMILY_GEO,炳发,family:peng-huoth,MARKET_POSITIONING,70,True,True,RESOLVE_WITH_PROJECT_OR_GEO_CONTEXT,VERIFIED,同一号路炳发
1号路炳发,1号路炳发,PROJECT,炳发 The Star Platinum,project:the-star-platinum,FAMILY_GEO,70,True,True,CANDIDATE_ONLY,VERIFIED,“1号路炳发”与“一号路炳发”等价，仅作为family+geo候选。
1号路炳发,1号路炳发,PROJECT,炳发 Athina,project:the-star-platinum-athina,FAMILY_GEO,70,True,True,CANDIDATE_ONLY,VERIFIED,“1号路炳发”与“一号路炳发”等价，仅作为family+geo候选。
1号路炳发,1号路炳发,PROJECT,炳发 Capital One,project:the-star-platinum-capital-one,FAMILY_GEO,70,True,True,CANDIDATE_ONLY,VERIFIED,“1号路炳发”与“一号路炳发”等价，仅作为family+geo候选。
1号路炳发,1号路炳发,PROJECT,炳发 Eco Delta,project:the-star-platinum-eco-delta,FAMILY_GEO,70,True,True,CANDIDATE_ONLY,VERIFIED,“1号路炳发”与“一号路炳发”等价，仅作为family+geo候选。
1号路炳发,1号路炳发,PROJECT,炳发 Eco Melody,project:the-star-platinum-eco-melody,FAMILY_GEO,70,True,True,CANDIDATE_ONLY,VERIFIED,“1号路炳发”与“一号路炳发”等价，仅作为family+geo候选。
1号路炳发,1号路炳发,PROJECT,炳发 Eco Romance,project:the-star-platinum-eco-romance,FAMILY_GEO,70,True,True,CANDIDATE_ONLY,VERIFIED,“1号路炳发”与“一号路炳发”等价，仅作为family+geo候选。
1号路炳发,1号路炳发,PROJECT,炳发 Eco Sunrise,project:the-star-platinum-eco-sunrise,FAMILY_GEO,70,True,True,CANDIDATE_ONLY,VERIFIED,“1号路炳发”与“一号路炳发”等价，仅作为family+geo候选。
1号路炳发,1号路炳发,PROJECT,炳发 Eco Varanda,project:the-star-platinum-eco-varanda,FAMILY_GEO,70,True,True,CANDIDATE_ONLY,VERIFIED,“1号路炳发”与“一号路炳发”等价，仅作为family+geo候选。
1号路炳发,1号路炳发,PROJECT,炳发 Euro Ville,project:the-star-platinum-euro-ville,FAMILY_GEO,70,True,True,CANDIDATE_ONLY,VERIFIED,“1号路炳发”与“一号路炳发”等价，仅作为family+geo候选。
