entity_id,canonical_key,canonical_name_cn,canonical_name_en,project_type,developer,brand,project_family,parent_project,khan,sangkat,locality,primary_road,secondary_roads,canonical_geo_display,public_location_display_cn,market_positioning_cn,market_aliases_cn,search_aliases_cn,verification_status,source_1,source_2,source_3,notes
project:agile-sky-residence,agile-sky-residence,雅居乐天空公馆,Agile Sky Residence,公寓,Agile Group,,Agile,,Boeung Keng Kang,BKK3,,Preah Monivong Blvd,"莫尼旺大道,Monivong Blvd,Monivong,Preah Monivong Boulevard",BKK3,BKK3 · 莫尼旺大道,BKK3;莫尼旺大道;BKK1雅居乐（仅搜索）,BKK1雅居乐;BKK雅居乐;莫尼旺雅居乐,雅居乐;雅居乐天空公馆;Agile Sky Residence;BKK1雅居乐;BKK3雅居乐;莫尼旺雅居乐,VERIFIED,https://www.aps.com.kh/agile-sky-residence/,https://www.realestate.com.kh/new-developments/agile-sky-residence/3-bed-2-bath-condo-255220/,,Canonical GEO is BKK3 / Monivong. BKK1雅居乐 and BKK雅居乐 are search-only and cannot overwrite canonical GEO.
project:bkk-mansion,bkk-mansion,BKK Mansion,BKK Mansion,公寓,,,,,,BKK?,,,,BKK?,BKK Mansion,BKK,BKK,BKK Mansion,NEEDS_VERIFICATION,,,,名称含 BKK ≠ 一定在 BKK1。
project:casa-meridian,casa-meridian,CASA by Meridian,CASA by Meridian,公寓,Meridian,,,,,Koh Pich,,,,Koh Pich,CASA · 钻石岛,钻石岛,钻石岛,CASA Meridian,PARTIAL,,,,频道已出现。
project:chief-tower,chief-tower,Chief Tower,Chief Tower,综合体/办公属性待核,,,,,,,,,,,Chief Tower,,,Chief Tower,NEEDS_VERIFICATION,,,,
project:de-castle-royal,de-castle-royal,De Castle Royal,De Castle Royal,公寓,"NURI D&C Co., Ltd.",,,,Boeung Keng Kang,BKK1,,Street 288,,BKK1,BKK1 · 288路,BKK1;288路;莫尼旺附近,,"德城堡,De Castle Royal",PARTIAL,https://decastleroyal.com/building/,https://decastleroyal.com/,,"Official project site confirms No.34-36 St 288, BKK1 and NURI D&C; independent second source still needed."
project:diamond-bay-garden,diamond-bay-garden,钻石湾花园,Diamond Bay Garden,公寓社区,OCIC,,,,Chamkarmon,Tonle Bassac,Koh Pich,,,钻石岛,钻石岛 · 河边,钻石岛;河边;永旺1约短程车程,钻石岛,Diamond Bay Garden,VERIFIED,https://www.diamondbaygarden.com/,https://ocic.com.kh/kohpich,https://www.diamondbaygarden.com/newsroom/ascott-ocic-mou,Independent Koh Pich project. Never merge with Rose Garden.
project:diamond-mansion,diamond-mansion,钻石名邸,（待核）,公寓,,,,,,Koh Pich?,,,,Koh Pich?,钻石名邸 · 钻石岛,钻石岛,钻石岛,钻石名邸,NEEDS_VERIFICATION,,,,
project:diamond-one,diamond-one,Diamond One,Diamond One,公寓,,,,,,Koh Pich,,,,钻石岛,钻石岛,钻石岛;永旺1附近;金界方向,钻石岛,"钻石一号,Diamond One",PARTIAL,,,,
project:diamond-twin-tower,diamond-twin-tower,Diamond Twin Tower,Diamond Twin Tower,公寓,,,,,,Koh Pich,,Sopheak Mongkol Road,,钻石岛,钻石岛 · Sopheak Mongkol路,钻石岛,钻石岛,"钻石双塔,Diamond Twin Tower",PARTIAL,,,,
project:ding-li-tower,ding-li-tower,鼎利大厦,Ding Li Tower,综合体/办公属性待核,,,,,,,,,,,鼎利大厦,,,"鼎利,Ding Li Tower",NEEDS_VERIFICATION,,,,
project:j-tower-1,j-tower-1,J Tower 1,J Tower 1,公寓,J-Trust / 相关,,J Tower,,Boeung Keng Kang,BKK1,,Street 63,,BKK1,BKK1 · 63路,BKK1;永旺1附近,"堆谷,时代商圈","J1,J Tower 1",PARTIAL,,,,系列按栋拆 key。
project:j-tower-2,j-tower-2,J Tower 2,J Tower 2,公寓,,,J Tower,,Boeung Keng Kang,BKK1,,,,BKK1,BKK1 · 398路附近,BKK1,堆谷,"J2,J Tower 2",PARTIAL,,,,
project:j-tower-3,j-tower-3,J Tower 3,J Tower 3,在建公寓,,,J Tower,,Chamkarmon,Tonle Bassac,,Street 71,,百色河,百色河 · 71路,百色河;BKK1南侧;永旺1附近;独立碑附近,堆谷,"J3,J Tower 3",PARTIAL,,,,
project:la-vista-one,la-vista-one,La Vista One,La Vista One,公寓,,,,,,,,,,水净华,水净华 · 湄公河边,水净华;湄公河边;Sunrise Japan Hospital附近;Norton附近,,La Vista One,NEEDS_VERIFICATION,,,,
project:le-conde-bkk1,le-conde-bkk1,Le Condé BKK1,Le Condé,公寓,,,,,Chamkarmon,BKK1,,,,BKK1,BKK1 · Noro Mall附近,BKK1;Noro Mall附近;永旺1附近,BKK1,"康帝,Le Conde,Le Condé BKK1",PARTIAL,,,,名称自带 BKK1，仍要以地籍为准。
project:m-residence,m-residence,M Residence,M Residence,服务式公寓,,,,,Boeung Keng Kang,BKK1,,Street 282,,BKK1,BKK1 · 独立碑附近,BKK1;独立碑附近,,M Residence,PARTIAL,https://www.m-residence-kh.com/pages/contact,https://www.m-residence-kh.com/pages/hourly,,"Official project site confirms #170 Street 282, BKK1. Same-source pages are not independent, so PARTIAL under strict rule."
