project_entity_id,fact_key,fact_value,fact_unit,source_scope,confidence,source_name,source_url,source_date,evidence_text,notes
project:agile-sky-residence,electricity_rate,0.25-0.27,USD/kWh,COMMON_MARKET_PRACTICE,HIGH,realestate.com.kh,https://www.realestate.com.kh/new-developments/agile-sky-residence/1-bed-1-bath-condo-268646/,2026-09-18,Multiple current listings state $0.25–0.27/kWh.,
project:agile-sky-residence,water_rate,0.50-0.60,USD/m3,COMMON_MARKET_PRACTICE,MEDIUM,realestate.com.kh,https://www.realestate.com.kh/new-developments/agile-sky-residence/1-bed-1-bath-condo-268646/,2026-09-18,Listing states $0.50–0.60/m³.,
project:agile-sky-residence,water_rate,1.00,USD/m3,COMMON_MARKET_PRACTICE,MEDIUM,CAM Realty,https://camrealtyservice.com/property-city/phnom-penh/page/177/,2026-09-18,Community details state $1.00/m³.,
project:the-bridge,management_fee,1.60,USD/sqm/month,COMMON_MARKET_PRACTICE,MEDIUM,CAM Realty,https://camrealtyservice.com/building/the-bridge/,2026-09-18,Community profile lists $1.60/sqm including sinking fund.,
project:the-peak,pool,true,,COMMON_MARKET_PRACTICE,HIGH,CAM Realty,https://camrealtyservice.com/building/the-peak/,2026-09-18,"Profile lists infinity pool, sky gym and jacuzzi.",
project:the-pinnacle,electricity_rate,0.30,USD/kWh,COMMON_MARKET_PRACTICE,HIGH,CAM Realty,https://camrealtyservice.com/building/the-pinnacle-residence/,2026-09-18,Community profile states $0.30/kWh prepaid.,
project:the-pinnacle,electricity_rate,0.25,USD/kWh,OWNER_SPECIFIC,MEDIUM,Realtor listing,https://www.realtor.com/international/kh/tonle-bassac-chamkarmon-phnom-penh-360107114960/,2026-09-18,One rental lists $0.25/kWh.,
project:wealth-mansion,electricity_rate,.25,USD/kWh,COMMON_MARKET_PRACTICE,HIGH,CAM Realty,https://camrealtyservice.com/building/wealth-mansion/,2026-09-18,Community details list .25 USD/kWh.,
project:wealth-mansion,water_rate,.75,USD/m3,COMMON_MARKET_PRACTICE,HIGH,CAM Realty,https://camrealtyservice.com/building/wealth-mansion/,2026-09-18,Community details list .75 USD/m3.,
project:wealth-mansion,management_fee,1.50,USD/sqm/month,COMMON_MARKET_PRACTICE,HIGH,CAM Realty,https://camrealtyservice.com/building/wealth-mansion/,2026-09-18,Community details list 1.50 USD/sqm/month.,
project:wealth-mansion,minimum_lease,12,months,COMMON_MARKET_PRACTICE,MEDIUM,APS Cambodia,https://www.aps.com.kh/wealth-mansion-phnom-penh/,2026-09-18,APS project overview lists minimum one year and two-month security deposit.,
project:urban-village-1,electricity_rate,.30,USD/kWh,OWNER_SPECIFIC,MEDIUM,APS Cambodia,https://aps.com.kh/properties/17th-2-bedroom-condo-for-rent-urban-village-phase-1-mean-chey-phnom-penh/,2026-09-18,"One current rental states electricity $0.30/kWh, water $0.50/m³, management/security included.",
project:morgan-enmaison,electricity_rate,.25,USD/kWh,COMMON_MARKET_PRACTICE,HIGH,CAM Realty,https://camrealtyservice.com/building/morgan-enmaison/,2026-09-18,Community profile.,
project:morgan-enmaison,water_rate,.30,USD/m3,COMMON_MARKET_PRACTICE,HIGH,CAM Realty,https://camrealtyservice.com/building/morgan-enmaison/,2026-09-18,Community profile.,
project:morgan-enmaison,pet_policy,NOT_ALLOWED,,COMMON_MARKET_PRACTICE,HIGH,CAM Realty,https://camrealtyservice.com/building/morgan-enmaison/,2026-09-18,Community profile.,
project:j-tower-1,management_fee,1.50,USD/sqm/month,COMMON_MARKET_PRACTICE,MEDIUM,CAM Realty,https://camrealtyservice.com/building/j-tower-1/,2026-09-18,Community details.,
project:j-tower-1,car_parking_fee,50,USD/month,COMMON_MARKET_PRACTICE,MEDIUM,CAM Realty,https://camrealtyservice.com/building/j-tower-1/,2026-09-18,Community details.,
project:j-tower-2,electricity_rate,0.25-0.30,USD/kWh,COMMON_MARKET_PRACTICE,HIGH,realestate.com.kh,https://www.realestate.com.kh/new-developments/j-tower-2-condominium/2-bed-2-bath-condo-245889/,2026-09-18,Several listings show $0.25; other current listing shows $0.30.,
project:j-tower-2,water_rate,.25,USD/m3,COMMON_MARKET_PRACTICE,HIGH,realestate.com.kh,https://www.realestate.com.kh/new-developments/j-tower-2-condominium/2-bed-2-bath-condo-245889/,2026-09-18,Repeated across listings.,
project:j-tower-3,unit_count,360,units,COMMON_MARKET_PRACTICE,HIGH,CAM Realty,https://camrealtyservice.com/building/j-tower-3/,2026-09-18,Project profile lists 360 all-3BR units and planned 2029 handover.,
project:times-square-2,management_fee,.80,USD/sqm/month,COMMON_MARKET_PRACTICE,MEDIUM,CAM Realty,https://camrealtyservice.com/building/time-square-2/,2026-09-18,Project profile.,
project:times-square-3,electricity_rate,.25,USD/kWh,COMMON_MARKET_PRACTICE,MEDIUM,CAM Realty,https://camrealtyservice.com/building/time-square-3/,2026-09-18,Community rental profile.,
project:times-square-5,electricity_rate,.25,USD/kWh,COMMON_MARKET_PRACTICE,MEDIUM,CAM Realty,https://camrealtyservice.com/property-feature/lift-elevator/page/21/,2026-09-18,Community details.,
project:times-square-7,management_fee,.80,USD/sqm/month,COMMON_MARKET_PRACTICE,HIGH,IPS Cambodia,https://ips-cambodia.com/buy/boeung-kak-1/18584-time-square-7-condo-boeung-kak-1-toul-kork-phnom-penh/,2026-09-18,IPS lists $0.8/sqm.,
project:times-square-7,management_fee,.80,USD/sqm/month,COMMON_MARKET_PRACTICE,HIGH,Pointer,https://pointerasia.com/project/phnom-penh/time-square-7-PC-000002,2026-09-18,Independent project profile lists $0.8/sqm.,
project:times-square-8,management_fee,.80,USD/sqm/month,COMMON_MARKET_PRACTICE,MEDIUM,CAM Realty,https://camrealtyservice.com/building/time-square-8/,2026-09-18,Project profile.,
project:times-square-9,management_fee,1.8,USD/sqm/month,COMMON_MARKET_PRACTICE,MEDIUM,IPS Cambodia,https://ips-cambodia.com/project/50-time-square-9-condominium/,2026-09-18,Pre-completion project data.,
project:times-square-9,electricity_rate,.30,USD/kWh,COMMON_MARKET_PRACTICE,MEDIUM,IPS Cambodia,https://ips-cambodia.com/project/50-time-square-9-condominium/,2026-09-18,Pre-completion project data; verify after handover.,
project:m-residence,electricity_rate,.28,USD/kWh,OWNER_SPECIFIC,MEDIUM,ERA Cambodia,https://www.eracambodia.com/mresidence,2026-09-18,Rental package.,
project:de-castle-royal,water_rate,.35,USD/m3,COMMON_MARKET_PRACTICE,MEDIUM,CAM Realty,https://camrealtyservice.com/property-feature/furnished/,2026-09-18,Community details.,
project:de-castle-royal,water_rate,.62,USD/m3,COMMON_MARKET_PRACTICE,MEDIUM,realestate.com.kh,https://www.realestate.com.kh/new-developments/de-castle-royal-condominium/,2026-09-18,Project profile utility cost.,
project:one-park,electricity_rate,.25,USD/kWh,COMMON_MARKET_PRACTICE,HIGH,realestate.com.kh,https://www.realestate.com.kh/new-developments/one-park/1-bed-1-bath-serviced-apartment-243630/,2026-09-18,Repeated One Park rental listings.,
project:one-park,water_rate,.75,USD/ton,COMMON_MARKET_PRACTICE,HIGH,Realtor,https://www.realtor.com/international/kh/srah-chak-daun-penh-phnom-penh-360107122182/,2026-09-18,Independent platform mirrors current rental tariff.,
project:olympia-city,electricity_rate,.275,USD/kWh,OWNER_SPECIFIC,MEDIUM,CAM Realty,https://camrealtyservice.com/building/olympia-city/,2026-09-18,Current Tower C3 rental profile.,
project:vue-aston,management_fee,1.38,USD/sqm/month,COMMON_MARKET_PRACTICE,HIGH,PropertyHub Cambodia,https://khpropertyhub.com/en/project/phnom-penh/vue-aston-PC-000190,2026-09-18,Project profile.,
project:vue-aston,electricity_rate,.27,USD/kWh,COMMON_MARKET_PRACTICE,HIGH,CAM Realty,https://camrealtyservice.com/building/vue-aston-condominium/,2026-09-18,Repeated building profile.,
project:diamond-bay-garden,management_fee,1.5,USD/sqm/month,COMMON_MARKET_PRACTICE,MEDIUM,CAM Realty,https://camrealtyservice.com/building/diamond-bay-garden/,2026-09-18,"Project profile, sinking fund included.",
project:diamond-one,electricity_rate,.30,USD/kWh,OWNER_SPECIFIC,LOW,realestate.com.kh,https://www.realestate.com.kh/new-developments/diamond-one/1-bed-1-bath-condo-268280/,2026-09-18,Single current unit listing; do not generalize.,
project:la-vista-one,electricity_rate,.25,USD/kWh,COMMON_MARKET_PRACTICE,MEDIUM,CAM Realty,https://camrealtyservice.com/building/la-vista-one/,2026-09-18,Building profile.,
