project_entity_id,canonical_name_cn,canonical_name_en,electricity_rate_min,electricity_rate_max,electricity_unit,electricity_scope,electricity_confidence,water_rate_min,water_rate_max,water_unit,water_scope,water_confidence,management_fee_min,management_fee_max,management_fee_unit,management_fee_scope,internet_included_common,car_parking_fee_min,car_parking_fee_max,motorbike_parking_fee_min,motorbike_parking_fee_max,deposit_months_typical,minimum_lease_months,pool,gym,sauna,steam_room,jacuzzi,kids_playground,garden,rooftop,coworking,security_24h,reception,concierge,access_card,cctv,generator,backup_power,water_backup,pet_policy,short_term_allowed,airbnb_allowed,building_year,total_floors,tower_count,unit_count,studio_available,1br_available,2br_available,3br_available,4br_plus_available,balcony_common,river_view_available,city_view_available,furnished_typical,washing_machine_typical,bathtub_available,nearby_landmarks,notes,living_summary,verification_status,project_type,project_amenities,common_unit_features,unit_specific_feature_notes
project:agile-sky-residence,雅居乐天空公馆,Agile Sky Residence,0.25,0.27,USD/kWh,COMMON_MARKET_PRACTICE,HIGH,0.5,1.0,USD/m3,COMMON_MARKET_PRACTICE,MEDIUM,1.0,1.0,USD/sqm/month,COMMON_MARKET_PRACTICE,UNKNOWN,40.0,60.0,7.0,7.0,,,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,YES,UNKNOWN,YES,YES,UNKNOWN,UNKNOWN,YES,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2022,45.0,,963.0,YES,YES,YES,YES,UNKNOWN,YES,UNKNOWN,YES,VARIES_BY_UNIT,UNKNOWN,UNKNOWN,,,高层公寓；泳池、健身房和24小时安保较明确；市场房源电费约0.25–0.27美元/kWh，水费来源存在0.50–1.00美元/m³差异。,MARKET_RANGE,,,,
project:bkk-mansion,BKK Mansion,BKK Mansion,,,,,,,,,,,,,,,UNKNOWN,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,No reliable living-facts evidence captured in this research pass; do not infer project-wide fees from city utility tariffs or single ads.,本轮未取得足够可靠的项目租住费用/管理规则证据；费用和政策暂按具体房源核验。,UNKNOWN,,,,
project:casa-meridian,CASA by Meridian,CASA by Meridian,,,,,,,,,,,,,,,UNKNOWN,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,No reliable living-facts evidence captured in this research pass; do not infer project-wide fees from city utility tariffs or single ads.,本轮未取得足够可靠的项目租住费用/管理规则证据；费用和政策暂按具体房源核验。,UNKNOWN,,,,
project:chief-tower,Chief Tower,Chief Tower,,,,,,,,,,,,,,,UNKNOWN,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,No reliable living-facts evidence captured in this research pass; do not infer project-wide fees from city utility tariffs or single ads.,本轮未取得足够可靠的项目租住费用/管理规则证据；费用和政策暂按具体房源核验。,UNKNOWN,,,,
project:de-castle-royal,De Castle Royal,De Castle Royal,0.25,0.25,USD/kWh,COMMON_MARKET_PRACTICE,HIGH,0.35,0.62,USD/m3,COMMON_MARKET_PRACTICE,MEDIUM,,,,,UNKNOWN,,,,,,,YES,YES,YES,UNKNOWN,UNKNOWN,YES,YES,UNKNOWN,UNKNOWN,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,YES,UNKNOWN,NOT_ALLOWED,UNKNOWN,UNKNOWN,UNKNOWN,32.0,,414.0,UNKNOWN,YES,YES,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,BKK1高层公寓；泳池、健身房、桑拿、儿童区、备用发电和停车明确；市场资料电费约0.25美元/kWh，水费来源0.35–0.62美元/m³存在差异。,MARKET_RANGE,,,,
project:diamond-bay-garden,钻石湾花园,Diamond Bay Garden,,,,,,,,,,,1.5,1.5,USD/sqm/month,COMMON_MARKET_PRACTICE,UNKNOWN,,,,,,,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,YES,UNKNOWN,UNKNOWN,UNKNOWN,YES,UNKNOWN,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2026,39.0,,591.0,YES,YES,YES,YES,UNKNOWN,YES,YES,YES,NOT_INCLUDED_TYPICAL,UNKNOWN,UNKNOWN,,,Koh Pich在建/新交付公寓；泳池、健身房、儿童区、瑜伽和门禁安保明确；管理费公开资料约1.50美元/㎡，实际租客水电费尚无稳定数据。,PARTIAL,,,,
project:diamond-mansion,钻石名邸,（待核）,,,,,,,,,,,,,,,UNKNOWN,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,No reliable living-facts evidence captured in this research pass; do not infer project-wide fees from city utility tariffs or single ads.,本轮未取得足够可靠的项目租住费用/管理规则证据；费用和政策暂按具体房源核验。,UNKNOWN,,,,
project:diamond-one,Diamond One,Diamond One,0.3,0.3,USD/kWh,OWNER_SPECIFIC,LOW,1.0,1.0,USD/m3,OWNER_SPECIFIC,LOW,,,,,UNKNOWN,40.0,40.0,7.5,7.5,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2018/2019,,,,UNKNOWN,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,UNKNOWN,OWNER_SPECIFIC,UNKNOWN,UNKNOWN,,,Koh Pich公寓；当前单一市场样本显示电费0.30美元/kWh、水费1.00美元/m³、车40/摩托7.50美元/月；收费暂不能视为项目统一规则。,OWNER_VARIES,,,,
project:diamond-twin-tower,Diamond Twin Tower,Diamond Twin Tower,,,,,,,,,,,,,,,UNKNOWN,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,No reliable living-facts evidence captured in this research pass; do not infer project-wide fees from city utility tariffs or single ads.,本轮未取得足够可靠的项目租住费用/管理规则证据；费用和政策暂按具体房源核验。,UNKNOWN,,,,
project:ding-li-tower,鼎利大厦,Ding Li Tower,,,,,,,,,,,,,,,UNKNOWN,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,No reliable living-facts evidence captured in this research pass; do not infer project-wide fees from city utility tariffs or single ads.,本轮未取得足够可靠的项目租住费用/管理规则证据；费用和政策暂按具体房源核验。,UNKNOWN,,,,
