family_id,family_name_cn,family_name_en,developer,child_projects,ambiguous_aliases,resolution_rule
family:peng-huoth,炳发,Borey Peng Huoth,Borey Peng Huoth,project:the-star-platinum;project:the-star-platinum-athina;project:the-star-light;project:the-star-premier;project:peng-huoth-chamkardong;project:peng-huoth-veng-sreng;project:the-star-quateria;project:the-star-platinum-herminus;project:the-star-emerald-ii;project:the-star-platinum-mercurean-i;project:the-star-platinum-capital-one;project:the-star-polaris-23-condominium;project:the-star-platinum-polaris-ii;project:the-star-platinum-euro-ville;project:the-star-diamond;project:the-star-diamond-ii;project:the-star-munirah;project:the-star-platinum-roseville;project:the-star-platinum-mastery;project:the-star-mera-garden;project:the-star-platinum-eco-romance;project:the-star-platinum-eco-varanda;project:the-star-platinum-eco-sunrise;project:the-star-eternal;project:the-star-natural;project:the-star-platinum-mercurean-ii;project:the-star-jumeirah;project:the-star-platinum-rosato;project:the-star-platinum-paradigm;project:the-star-platinum-polaris-i;project:the-star-platinum-eco-melody;project:the-star-platinum-eco-delta,炳发;Peng Huoth;一号路炳发;铁桥头炳发;60米炳发;50米炳发;永旺3炳发;Norea附近炳发,先按道路/地标缩小family，再解析具体项目；开发商名“炳发”不得直接当PROJECT。
family:time-square,时代广场,Time Square,Megakim/Time Square,project:times-square-1;project:times-square-11;project:times-square-2;project:times-square-3;project:times-square-5;project:times-square-7;project:times-square-8;project:times-square-9,时代;时代广场;Time Square,必须有数字/道路/BKK/TK等证据才能解析具体期数。
family:urban-village,首都·国金,Urban Village,Urban Hub Cambodia,project:urban-village-1;project:urban-village-2,Urban Village;首都国金,裸Urban Village/首都国金只到family；需一期/二期或明确位置证据。
family:morgan,摩根,Morgan,Morgan,project:morgan-enmaison;project:morgan-tower,Morgan;摩根,裸Morgan只到family；EnMaison住宅与Tower办公/综合体严格分开。
family:prince,太子,Prince,Prince,project:prince-central-plaza;project:prince-international-plaza;project:prince-modern-plaza;project:prince-universe;project:the-pinnacle,太子;Prince,裸太子只到family；需幸福/国际/寰宇/中央/现代等项目词。
family:j-tower,J Tower,J Tower,Tanichu,project:j-tower-1;project:j-tower-2;project:j-tower-3,J Tower;J塔,必须有1/2/3或明确地址证据。
family:orkide,Orkide / 奥凯德,Orkide,Orkide Development,project:orkide-the-royal;project:orkide-the-grand;project:orkide-botanic-city;project:orkide-pochentong,Orkide;Orkide Villa;奥凯德;2004奥凯德,2004路优先The Royal/The Grand但仍需项目词；品牌词不得单独定项目。
family:chip-mong,Chip Mong,Chip Mong,Chip Mong Land,project:chip-mong-park-land-598;project:chip-mong-park-land-50m;project:chip-mong-park-land-sen-sok;project:chip-mong-park-land-tk;project:chip-mong-park-land-6a;project:chip-mong-landmark-271;project:chip-mong-landmark-60m;project:chip-mong-grand-phnom-penh-city;project:chip-mong-landriche-chamkar-dong;project:chip-mong-park-land-tk-condo,Chip Mong;集茂;Chip Mong Land,道路/项目词优先：598、50M、60M、271、6A、TK、Sen Sok。
family:new-world,New World / 新世界,Borey New World,Borey New World,project:new-world-kour-srov-1-2;project:new-world-kour-srov-3,New World;新世界;Kour Srov新世界,裸New World只到family；Kour Srov 1&2与3按明确项目名区分。
family:piphup-thmey,Piphup Thmey,Borey Piphup Thmey,Borey Piphup Thmey,project:piphup-thmey-sen-sok;project:piphup-thmey-chamkar-dong;project:piphup-thmey-nr4,Piphup Thmey;ពិភពថ្មី,按Sen Sok/Chamkar Dong/NR4等位置证据解析；裸品牌不定项目。
family:oxley-worldbridge,Oxley Worldbridge,Oxley Worldbridge,Oxley Worldbridge,project:the-bridge;project:the-peak;project:the-palms,Worldbridge;Oxley Worldbridge,Bridge/Peak/Palms分别解析，不共享canonical GEO。
family:royal-one,皇家一号,Royal One,,project:royal-one;project:tk-royal-one,Royal One;皇家一号,裸Royal One默认只指Royal One候选；TK token是TK Royal One必要强证据。
family:chankiri,Chankiri,Chankiri,Urbanland,project:chankiri-palm-creek,Chankiri;Palm Creek,当前可确认Palm Creek；其它同名/后续分期不自动合并。
